district_name	Month	measure	countOfDetailedCells	
Hl.m. Praha	1998-05	5148	3	
Hl.m. Praha	1994-10	11736	1	
Hl.m. Praha	1997-03	17184	2	
Hl.m. Praha	1995-04	18564	1	
Hl.m. Praha	1996-07	20196	1	
Hl.m. Praha	1994-01	24516	4	
Hl.m. Praha	1995-11	31176	1	
Hl.m. Praha	1994-12	31248	2	
Hl.m. Praha	1995-03	31728	2	
Hl.m. Praha	1997-06	34572	2	
Hl.m. Praha	1995-09	36168	1	
Hl.m. Praha	1995-05	36396	1	
Hl.m. Praha	1998-01	37944	5	
Hl.m. Praha	1993-12	38148	1	
Hl.m. Praha	1994-07	39576	3	
Hl.m. Praha	1997-10	44940	4	
Hl.m. Praha	1994-11	48672	3	
Hl.m. Praha	1996-09	68832	2	
Hl.m. Praha	1996-10	70656	3	
Hl.m. Praha	1998-04	74352	2	
Hl.m. Praha	1998-09	74916	3	
Hl.m. Praha	1995-01	76380	3	
Hl.m. Praha	1997-08	76944	2	
Hl.m. Praha	1997-07	77808	1	
Hl.m. Praha	1994-02	78936	1	
Hl.m. Praha	1994-06	91584	3	
Hl.m. Praha	1998-11	99216	2	
Hl.m. Praha	1997-04	99936	1	
Hl.m. Praha	1997-05	100260	3	
Hl.m. Praha	1996-11	110136	2	
Hl.m. Praha	1994-08	120888	2	
Hl.m. Praha	1995-12	125340	1	
Hl.m. Praha	1998-03	157068	2	
Hl.m. Praha	1997-11	203940	1	
Hl.m. Praha	1998-06	212976	2	
Hl.m. Praha	1994-05	215388	1	
Hl.m. Praha	1995-10	231696	2	
Hl.m. Praha	1996-03	247728	1	
Hl.m. Praha	1996-08	258444	1	
Hl.m. Praha	1997-09	271584	1	
Hl.m. Praha	1993-09	274740	1	
Hl.m. Praha	1995-02	316140	1	
Hl.m. Praha	1996-04	320976	1	
Hl.m. Praha	1997-02	415800	1	
Hl.m. Praha	1998-02	428784	1	
