level1	level1	measure	countOfDetailedCells	
Blue-collar	72-76	10.0000	1	
Blue-collar	17-21	15.0000	1	
Other	72-76	16.0000	1	
Other	57-61	22.2500	4	
Other	27-31	22.5000	2	
white-collar	77-81	24.2000	5	
white-collar	72-76	28.0714	14	
Other	67-71	30.0000	2	
Blue-collar	22-26	33.7500	4	
Blue-collar	57-61	34.7143	7	
Blue-collar	32-36	35.8182	11	
Blue-collar	42-46	36.4286	14	
Blue-collar	27-31	37.0000	10	
white-collar	22-26	39.3443	61	
Other	52-56	40.0000	1	
Blue-collar	77-81	40.0000	1	
Other	77-81	40.0000	1	
white-collar	67-71	40.5556	36	
Blue-collar	62-66	42.0000	3	
white-collar	17-21	42.5000	2	
Blue-collar	52-56	43.1667	6	
Blue-collar	47-51	43.6154	13	
white-collar	62-66	43.6842	57	
white-collar	27-31	44.3533	167	
white-collar	57-61	44.6066	122	
white-collar	42-46	44.8547	358	
white-collar	32-36	45.3361	238	
white-collar	37-41	46.4262	298	
Blue-collar	37-41	46.6667	12	
white-collar	47-51	46.7833	300	
white-collar	52-56	46.8333	210	
Other	42-46	47.0000	12	
white-collar	87-90	47.5000	4	
Other	62-66	50.0000	1	
Other	22-26	51.2000	5	
Other	47-51	52.5000	8	
Other	32-36	52.5000	4	
white-collar	82-86	53.0000	2	
Other	37-41	62.7500	4	
