id,dim_0,index_0,dim_1,index_1,dim_2,index_2,parent1,parent2
1,age,0,race,0,work_class,0,33,1
2,age,0,race,1,work_class,0,38,1
3,age,0,race,2,work_class,0,43,1
4,age,1,race,0,work_class,0,34,2
5,age,1,race,1,work_class,0,39,2
6,age,1,race,2,work_class,0,44,2
7,age,2,race,0,work_class,0,35,3
8,age,2,race,1,work_class,0,40,3
9,age,2,race,2,work_class,0,45,3
10,age,3,race,0,work_class,0,36,4
11,age,3,race,1,work_class,0,41,4
12,age,3,race,2,work_class,0,46,4
13,age,4,race,0,work_class,0,37,5
14,age,4,race,1,work_class,0,42,5
15,age,4,race,2,work_class,0,47,5
16,age,0,race,0,work_class,1,33,9
17,age,0,race,1,work_class,1,38,9
18,age,0,race,2,work_class,1,43,9
19,age,1,race,0,work_class,1,34,10
20,age,1,race,1,work_class,1,39,10
21,age,1,race,2,work_class,1,44,10
22,age,2,race,0,work_class,1,35,11
23,age,2,race,1,work_class,1,40,11
24,age,2,race,2,work_class,1,45,11
25,age,3,race,0,work_class,1,36,12
26,age,3,race,1,work_class,1,41,12
27,age,3,race,2,work_class,1,46,12
28,age,4,race,0,work_class,1,37,13
29,age,4,race,1,work_class,1,42,13
30,age,4,race,2,work_class,1,47,13
31,age,0,race,0,work_class,2,33,17
32,age,0,race,1,work_class,2,38,17
33,age,0,race,2,work_class,2,43,17
34,age,1,race,0,work_class,2,34,18
35,age,1,race,1,work_class,2,39,18
36,age,1,race,2,work_class,2,44,18
37,age,2,race,0,work_class,2,35,19
38,age,2,race,1,work_class,2,40,19
39,age,2,race,2,work_class,2,45,19
40,age,3,race,0,work_class,2,36,20
41,age,3,race,1,work_class,2,41,20
42,age,3,race,2,work_class,2,46,20
43,age,4,race,0,work_class,2,37,21
44,age,4,race,1,work_class,2,42,21
45,age,4,race,2,work_class,2,47,21
46,age,0,race,0,work_class,3,33,25
47,age,0,race,1,work_class,3,38,25
48,age,0,race,2,work_class,3,43,25
49,age,1,race,0,work_class,3,34,26
50,age,1,race,1,work_class,3,39,26
51,age,1,race,2,work_class,3,44,26
52,age,2,race,0,work_class,3,35,27
53,age,2,race,1,work_class,3,40,27
54,age,2,race,2,work_class,3,45,27
55,age,3,race,0,work_class,3,36,28
56,age,3,race,1,work_class,3,41,28
57,age,3,race,2,work_class,3,46,28
58,age,4,race,0,work_class,3,37,29
59,age,4,race,1,work_class,3,42,29
60,age,4,race,2,work_class,3,47,29
