level0,level1,level2,level3
Cambodia,Southeastern-Asia,Asia,*
Canada,Canada,North-America,*
China,Eastern-Asia,Asia,*
Columbia,Northern-South-America,South-America,*
Cuba,Caribbean,South-America,*
Dominican-Republic,Caribbean,South-America,*
Ecuador,Western-South-America,South-America,*
El-Salvador,El-Salvador,Middle-America,*
England,Western-Europe,Europe,*
France,Western-Europe,Europe,*
Germany,Central-Europe,Europe,*
Greece,Southern-Europe,Europe,*
Guatemala,Guatemala,Middle-America,*
Haiti,Caribbean,South-America,*
Holand-Netherlands,Western-Europe,Europe,*
Honduras,Honduras,Middle-America,*
Hong,Eastern-Asia,Asia,*
Hungary,Central-Europe,Europe,*
India,Southern-Asia,Asia,*
Iran,Middle-East,Asia,*
Ireland,Western-Europe,Europe,*
Italy,Southern-Europe,Europe,*
Jamaica,Caribbean,South-America,*
Japan,Eastern-Asia,Asia,*
Laos,Southeastern-Asia,Asia,*
Mexico,Mexico,Middle-America,*
Nicaragua,Nicaragua,Middle-America,*
Outlying-US(Guam-USVI-etc),USA,North-America,*
Peru,Western-South-America,South-America,*
Philippines,Southeastern-Asia,Asia,*
Poland,Central-Europe,Europe,*
Portugal,Southwestern-Europe,Europe,*
Puerto-Rico,Caribbean,South-America,*
Scotland,Western-Europe,Europe,*
South,Eastern-Asia,Asia,*
Taiwan,Eastern-Asia,Asia,*
Thailand,Southeastern-Asia,Asia,*
Trinadad&Tobago,Caribbean,South-America,*
United-States,USA,North-America,*
Vietnam,Southeastern-Asia,Asia,*
Yugoslavia,Southeastern-Europe,Europe,*
