level0;level1;level2;level3;level4
17;17-21;17-26;17-36;ALL
18;17-21;17-26;17-36;ALL
19;17-21;17-26;17-36;ALL
20;17-21;17-26;17-36;ALL
21;17-21;17-26;17-36;ALL
22;22-26;17-26;17-36;ALL
23;22-26;17-26;17-36;ALL
24;22-26;17-26;17-36;ALL
25;22-26;17-26;17-36;ALL
26;22-26;17-26;17-36;ALL
27;27-31;27-36;17-36;ALL
28;27-31;27-36;17-36;ALL
29;27-31;27-36;17-36;ALL
30;27-31;27-36;17-36;ALL
31;27-31;27-36;17-36;ALL
32;32-36;27-36;17-36;ALL
33;32-36;27-36;17-36;ALL
34;32-36;27-36;17-36;ALL
35;32-36;27-36;17-36;ALL
36;32-36;27-36;17-36;ALL
37;37-41;37-46;37-56;ALL
38;37-41;37-46;37-56;ALL
39;37-41;37-46;37-56;ALL
40;37-41;37-46;37-56;ALL
41;37-41;37-46;37-56;ALL
42;42-46;37-46;37-56;ALL
43;42-46;37-46;37-56;ALL
44;42-46;37-46;37-56;ALL
45;42-46;37-46;37-56;ALL
46;42-46;37-46;37-56;ALL
47;47-51;47-56;37-56;ALL
48;47-51;47-56;37-56;ALL
49;47-51;47-56;37-56;ALL
50;47-51;47-56;37-56;ALL
51;47-51;47-56;37-56;ALL
52;52-56;47-56;37-56;ALL
53;52-56;47-56;37-56;ALL
54;52-56;47-56;37-56;ALL
55;52-56;47-56;37-56;ALL
56;52-56;47-56;37-56;ALL
57;57-61;57-66;57-76;ALL
58;57-61;57-66;57-76;ALL
59;57-61;57-66;57-76;ALL
60;57-61;57-66;57-76;ALL
61;57-61;57-66;57-76;ALL
62;62-66;57-66;57-76;ALL
63;62-66;57-66;57-76;ALL
64;62-66;57-66;57-76;ALL
65;62-66;57-66;57-76;ALL
66;62-66;57-66;57-76;ALL
67;67-71;67-76;57-76;ALL
68;67-71;67-76;57-76;ALL
69;67-71;67-76;57-76;ALL
70;67-71;67-76;57-76;ALL
71;67-71;67-76;57-76;ALL
72;72-76;67-76;57-76;ALL
73;72-76;67-76;57-76;ALL
74;72-76;67-76;57-76;ALL
75;72-76;67-76;57-76;ALL
76;72-76;67-76;57-76;ALL
77;77-81;77-86;77-96;ALL
78;77-81;77-86;77-96;ALL
79;77-81;77-86;77-96;ALL
80;77-81;77-86;77-96;ALL
81;77-81;77-86;77-96;ALL
82;82-86;77-86;77-96;ALL
83;82-86;77-86;77-96;ALL
84;82-86;77-86;77-96;ALL
85;82-86;77-86;77-96;ALL
86;82-86;77-86;77-96;ALL
88;87-90;87-96;77-96;ALL
90;87-90;87-96;77-96;ALL
