time_id,the_date,the_day,the_month,the_year,day_of_month,week_of_year,month_of_year,quarter,year_and_month,year_quarter,All
367,1997-01-01,Wednesday,January,1997,1,2,1,Q1,1997-01,1997-Q1,ALL
368,1997-01-02,Thursday,January,1997,2,2,1,Q1,1997-01,1997-Q1,ALL
369,1997-01-03,Friday,January,1997,3,2,1,Q1,1997-01,1997-Q1,ALL
370,1997-01-04,Saturday,January,1997,4,2,1,Q1,1997-01,1997-Q1,ALL
371,1997-01-05,Sunday,January,1997,5,3,1,Q1,1997-01,1997-Q1,ALL
372,1997-01-06,Monday,January,1997,6,3,1,Q1,1997-01,1997-Q1,ALL
373,1997-01-07,Tuesday,January,1997,7,3,1,Q1,1997-01,1997-Q1,ALL
374,1997-01-08,Wednesday,January,1997,8,3,1,Q1,1997-01,1997-Q1,ALL
375,1997-01-09,Thursday,January,1997,9,3,1,Q1,1997-01,1997-Q1,ALL
376,1997-01-10,Friday,January,1997,10,3,1,Q1,1997-01,1997-Q1,ALL
377,1997-01-11,Saturday,January,1997,11,3,1,Q1,1997-01,1997-Q1,ALL
378,1997-01-12,Sunday,January,1997,12,4,1,Q1,1997-01,1997-Q1,ALL
379,1997-01-13,Monday,January,1997,13,4,1,Q1,1997-01,1997-Q1,ALL
380,1997-01-14,Tuesday,January,1997,14,4,1,Q1,1997-01,1997-Q1,ALL
381,1997-01-15,Wednesday,January,1997,15,4,1,Q1,1997-01,1997-Q1,ALL
382,1997-01-16,Thursday,January,1997,16,4,1,Q1,1997-01,1997-Q1,ALL
383,1997-01-17,Friday,January,1997,17,4,1,Q1,1997-01,1997-Q1,ALL
384,1997-01-18,Saturday,January,1997,18,4,1,Q1,1997-01,1997-Q1,ALL
385,1997-01-19,Sunday,January,1997,19,5,1,Q1,1997-01,1997-Q1,ALL
386,1997-01-20,Monday,January,1997,20,5,1,Q1,1997-01,1997-Q1,ALL
387,1997-01-21,Tuesday,January,1997,21,5,1,Q1,1997-01,1997-Q1,ALL
388,1997-01-22,Wednesday,January,1997,22,5,1,Q1,1997-01,1997-Q1,ALL
389,1997-01-23,Thursday,January,1997,23,5,1,Q1,1997-01,1997-Q1,ALL
390,1997-01-24,Friday,January,1997,24,5,1,Q1,1997-01,1997-Q1,ALL
391,1997-01-25,Saturday,January,1997,25,5,1,Q1,1997-01,1997-Q1,ALL
392,1997-01-26,Sunday,January,1997,26,6,1,Q1,1997-01,1997-Q1,ALL
393,1997-01-27,Monday,January,1997,27,6,1,Q1,1997-01,1997-Q1,ALL
394,1997-01-28,Tuesday,January,1997,28,6,1,Q1,1997-01,1997-Q1,ALL
395,1997-01-29,Wednesday,January,1997,29,6,1,Q1,1997-01,1997-Q1,ALL
396,1997-01-30,Thursday,January,1997,30,6,1,Q1,1997-01,1997-Q1,ALL
397,1997-01-31,Friday,January,1997,31,6,1,Q1,1997-01,1997-Q1,ALL
398,1997-02-01,Saturday,February,1997,1,6,2,Q1,1997-02,1997-Q1,ALL
399,1997-02-02,Sunday,February,1997,2,7,2,Q1,1997-02,1997-Q1,ALL
400,1997-02-03,Monday,February,1997,3,7,2,Q1,1997-02,1997-Q1,ALL
401,1997-02-04,Tuesday,February,1997,4,7,2,Q1,1997-02,1997-Q1,ALL
402,1997-02-05,Wednesday,February,1997,5,7,2,Q1,1997-02,1997-Q1,ALL
403,1997-02-06,Thursday,February,1997,6,7,2,Q1,1997-02,1997-Q1,ALL
