product_id;product_class_id;brand_name;product_name;SKU;SRP;gross_weight;net_weight;recyclable_package;low_fat;units_per_case;cases_per_pallet;shelf_width;shelf_height;shelf_depth;product_subcategory;product_category;product_department;product_family;All
195;1;High Top;High Top Almonds;83459433913;17.700;8.72;6.72;0;1;24;13;17.6;13;10.4;Nuts;Specialty;Produce;Food;ALL
205;1;High Top;High Top Mixed Nuts;86064931750;27.100;13.9;11.8;1;0;9;5;4.96;11.8;5;Nuts;Specialty;Produce;Food;ALL
206;1;High Top;High Top Canned Peanuts;50672228932;21.100;10.9;7.89;0;1;15;7;22.6;19.6;17.8;Nuts;Specialty;Produce;Food;ALL
211;1;High Top;High Top Walnuts;94892939925;27.200;14.5;12.5;1;0;1;7;4.6;12.1;14;Nuts;Specialty;Produce;Food;ALL
214;1;High Top;High Top Party Nuts;35291112065;28.200;21.6;19.6;1;1;18;13;8.56;14.5;4.93;Nuts;Specialty;Produce;Food;ALL
506;1;Tell Tale;Tell Tale Almonds;92249944806;36.800;11.5;8.5;1;0;3;8;15.2;6.59;12.2;Nuts;Specialty;Produce;Food;ALL
516;1;Tell Tale;Tell Tale Mixed Nuts;67198563218;18.500;21.8;19.7;1;0;6;13;6.94;9.01;15.2;Nuts;Specialty;Produce;Food;ALL
517;1;Tell Tale;Tell Tale Canned Peanuts;77130557894;34.000;7.87;6.86;0;0;26;5;11.6;9.5;3.9;Nuts;Specialty;Produce;Food;ALL
522;1;Tell Tale;Tell Tale Walnuts;13683450818;16.300;15.6;13.6;1;1;6;7;7.04;15.8;10.9;Nuts;Specialty;Produce;Food;ALL
525;1;Tell Tale;Tell Tale Party Nuts;94798375964;28.500;11.3;9.3;0;1;30;14;12.8;11.9;7.77;Nuts;Specialty;Produce;Food;ALL
817;1;Ebony;Ebony Almonds;98175169825;16.800;17.2;14.2;1;1;8;6;21;15.1;15.1;Nuts;Specialty;Produce;Food;ALL
827;1;Ebony;Ebony Mixed Nuts;60824422240;0.9500;8.29;7.28;1;0;20;6;22.3;10.3;4.66;Nuts;Specialty;Produce;Food;ALL
828;1;Ebony;Ebony Canned Peanuts;68879042267;12.900;19.4;17.3;0;1;32;8;10.9;22.4;3.04;Nuts;Specialty;Produce;Food;ALL
833;1;Ebony;Ebony Walnuts;20813052058;23.900;18.8;16.7;0;0;25;10;9.68;3.9;5.01;Nuts;Specialty;Produce;Food;ALL
836;1;Ebony;Ebony Party Nuts;84476624131;11.800;20.9;17.8;1;1;8;9;6.3;20.4;7.49;Nuts;Specialty;Produce;Food;ALL
1133;1;Tri-State;Tri-State Almonds;68382779955;15.400;17.5;15.5;1;1;26;6;17.2;12;18;Nuts;Specialty;Produce;Food;ALL
1143;1;Tri-State;Tri-State Mixed Nuts;99463810324;17.600;8.69;7.68;0;0;12;13;11.5;8.72;21.9;Nuts;Specialty;Produce;Food;ALL
1144;1;Tri-State;Tri-State Canned Peanuts;79042897820;0.8500;21.2;18.2;1;0;4;8;6.96;19.8;4.93;Nuts;Specialty;Produce;Food;ALL
1149;1;Tri-State;Tri-State Walnuts;92501375079;0.8800;19.7;16.7;0;1;17;5;4.93;6.41;22.7;Nuts;Specialty;Produce;Food;ALL
1152;1;Tri-State;Tri-State Party Nuts;27074561715;26.300;13.6;12.6;1;0;23;9;21.2;4.59;17.7;Nuts;Specialty;Produce;Food;ALL
1444;1;Hermanos;Hermanos Almonds;49780083298;17.600;11.2;9.19;1;1;23;13;8.44;13.8;17.7;Nuts;Specialty;Produce;Food;ALL
1454;1;Hermanos;Hermanos Mixed Nuts;54672282338;33.900;17.4;15.3;1;1;11;9;10.1;16;11.8;Nuts;Specialty;Produce;Food;ALL
1455;1;Hermanos;Hermanos Canned Peanuts;12010149359;25.300;16.8;15.7;1;0;30;13;7.84;8.5;21.4;Nuts;Specialty;Produce;Food;ALL
1460;1;Hermanos;Hermanos Walnuts;14613705277;21.300;11.1;8.1;1;0;29;14;12.8;7.34;17.5;Nuts;Specialty;Produce;Food;ALL
1463;1;Hermanos;Hermanos Party Nuts;60392994284;19.800;12.4;9.39;1;0;12;11;13;7.12;12.7;Nuts;Specialty;Produce;Food;ALL
216;2;Tip Top;Tip Top Scallops;83776288628;36.000;21.3;20.2;1;1;22;7;18.3;18.3;6.31;Shellfish;Seafood;Seafood;Food;ALL
527;2;Kiwi;Kiwi Scallops;60407328009;23.800;11.9;8.89;0;0;15;13;8.75;9.24;3.87;Shellfish;Seafood;Seafood;Food;ALL
838;2;Curlew;Curlew Scallops;49869111180;25.800;6.87;3.86;0;1;4;10;20.4;17.8;8.06;Shellfish;Seafood;Seafood;Food;ALL
1154;2;Dual City;Dual City Scallops;49418113827;17.000;12.7;10.6;1;0;3;11;21.7;4.04;9.2;Shellfish;Seafood;Seafood;Food;ALL
1465;2;Amigo;Amigo Scallops;23498780131;27.900;7.92;6.92;0;1;9;6;3.99;14;15.4;Shellfish;Seafood;Seafood;Food;ALL
38;3;Green Ribbon;Green Ribbon Canned Mixed Fruit;42658990025;13.100;14;11;1;1;32;8;11.1;17.2;5.74;Canned Fruit;Fruit;Canned Products;Food;ALL
39;3;Green Ribbon;Green Ribbon Canned Peaches;33045791983;31.100;17.5;15.5;1;0;5;7;10.8;17.7;9.04;Canned Fruit;Fruit;Canned Products;Food;ALL
349;3;Swell;Swell Canned Mixed Fruit;65579034686;23.400;8.62;7.61;0;1;3;7;5.14;16.2;12;Canned Fruit;Fruit;Canned Products;Food;ALL
350;3;Swell;Swell Canned Peaches;42871420979;16.300;15.3;12.3;1;0;12;8;9.54;3.6;6.82;Canned Fruit;Fruit;Canned Products;Food;ALL
660;3;Applause;Applause Canned Mixed Fruit;48180714249;28.000;6.96;3.96;1;1;2;7;5.24;15.9;3.76;Canned Fruit;Fruit;Canned Products;Food;ALL
661;3;Applause;Applause Canned Peaches;69329749941;23.400;19;17;0;0;20;6;9.29;20.4;14.3;Canned Fruit;Fruit;Canned Products;Food;ALL
976;3;Big City;Big City Canned Mixed Fruit;20602412819;11.700;17.8;16.7;1;0;33;6;16.4;11.5;19.7;Canned Fruit;Fruit;Canned Products;Food;ALL
977;3;Big City;Big City Canned Peaches;67893072962;0.7600;11.6;8.6;1;0;26;12;8.07;10.3;16;Canned Fruit;Fruit;Canned Products;Food;ALL
1287;3;Toucan;Toucan Canned Mixed Fruit;25828804373;14.000;17.9;15.8;1;1;32;5;4.87;14.1;4.44;Canned Fruit;Fruit;Canned Products;Food;ALL
1288;3;Toucan;Toucan Canned Peaches;95407891869;13.800;16.8;15.7;0;0;3;10;11.5;17.6;11.6;Canned Fruit;Fruit;Canned Products;Food;ALL
298;4;Super;Super Pepper;61393297314;28.300;17.7;15.7;0;1;34;11;19.3;9.38;8.49;Spices;Baking Goods;Baking Goods;Food;ALL
300;4;Super;Super Salt;22212381958;29.400;16.8;14.7;1;0;5;8;8.62;16.5;15;Spices;Baking Goods;Baking Goods;Food;ALL
302;4;Super;Super Oregano;53702738881;34.500;13.7;11.6;1;0;26;7;5.84;15.7;17.2;Spices;Baking Goods;Baking Goods;Food;ALL
609;4;Landslide;Landslide Pepper;25536143183;25.900;11.3;9.3;0;1;2;14;4.08;15.8;13.6;Spices;Baking Goods;Baking Goods;Food;ALL
611;4;Landslide;Landslide Salt;83215331435;0.8200;15.1;13.1;1;0;30;6;15.6;18.8;13.7;Spices;Baking Goods;Baking Goods;Food;ALL
613;4;Landslide;Landslide Oregano;79370052218;18.200;21.1;20.1;1;0;20;7;10.8;19.9;13;Spices;Baking Goods;Baking Goods;Food;ALL
925;4;BBB Best;BBB Best Pepper;90197336077;0.7600;11.4;9.39;0;1;4;5;18.3;12.9;13;Spices;Baking Goods;Baking Goods;Food;ALL
927;4;BBB Best;BBB Best Salt;24827589392;0.6300;7.72;5.71;0;1;36;9;15.9;19.8;15.4;Spices;Baking Goods;Baking Goods;Food;ALL
929;4;BBB Best;BBB Best Oregano;54031245112;0.5300;12.8;11.8;1;0;28;8;14.7;19.6;10.1;Spices;Baking Goods;Baking Goods;Food;ALL
1236;4;Plato;Plato Pepper;78358097672;33.200;16.5;13.5;1;1;2;13;7.02;9.9;4.2;Spices;Baking Goods;Baking Goods;Food;ALL
1238;4;Plato;Plato Salt;43750584721;14.700;14.8;13.8;1;1;3;11;11;8.1;11;Spices;Baking Goods;Baking Goods;Food;ALL
1240;4;Plato;Plato Oregano;92499433159;22.600;15.7;14.6;1;0;35;11;22.2;3.24;11.8;Spices;Baking Goods;Baking Goods;Food;ALL
1547;4;CDR;CDR Pepper;48081826567;23.800;16.1;14.1;1;0;14;9;12.9;19.1;12.3;Spices;Baking Goods;Baking Goods;Food;ALL
1549;4;CDR;CDR Salt;44236547350;15.200;17.9;16.8;0;0;19;10;16.7;8.67;3.05;Spices;Baking Goods;Baking Goods;Food;ALL
1551;4;CDR;CDR Oregano;68866800665;11.600;15.3;13.3;0;0;32;7;16.8;20.1;15.1;Spices;Baking Goods;Baking Goods;Food;ALL
261;5;Medalist;Medalist Ravioli;57518588900;33.800;17.5;14.5;1;0;5;6;9.16;17.2;4.39;Pasta;Starchy Foods;Starchy Foods;Food;ALL
262;5;Medalist;Medalist Manicotti;91762040257;13.400;21;20;1;0;31;9;17.4;21.1;5.19;Pasta;Starchy Foods;Starchy Foods;Food;ALL
263;5;Medalist;Medalist Spaghetti;82148842215;38.000;13.9;11.8;1;0;1;7;4.53;17.5;6.78;Pasta;Starchy Foods;Starchy Foods;Food;ALL
572;5;Shady Lake;Shady Lake Ravioli;73169203400;25.100;8.94;5.93;0;0;11;9;9.85;22.2;19.8;Pasta;Starchy Foods;Starchy Foods;Food;ALL
573;5;Shady Lake;Shady Lake Manicotti;61269304156;33.900;19.7;18.7;1;1;9;10;4.48;3.23;15.8;Pasta;Starchy Foods;Starchy Foods;Food;ALL
574;5;Shady Lake;Shady Lake Spaghetti;38561690449;26.700;19;17;1;0;29;11;13.4;3.46;12.9;Pasta;Starchy Foods;Starchy Foods;Food;ALL
883;5;Monarch;Monarch Ravioli;67660922408;29.000;8.2;5.19;1;0;18;10;8.85;22.2;5.2;Pasta;Starchy Foods;Starchy Foods;Food;ALL
884;5;Monarch;Monarch Manicotti;42666607499;26.000;13;10;0;0;22;12;5.3;7.26;15.5;Pasta;Starchy Foods;Starchy Foods;Food;ALL
