SK_Day,Day,Month,Year,All
19500101,1950-01-01,1950-01,1950,ALL
19500102,1950-01-02,1950-01,1950,ALL
19500103,1950-01-03,1950-01,1950,ALL
19500104,1950-01-04,1950-01,1950,ALL
19500105,1950-01-05,1950-01,1950,ALL
19500106,1950-01-06,1950-01,1950,ALL
19500107,1950-01-07,1950-01,1950,ALL
19500108,1950-01-08,1950-01,1950,ALL
19500109,1950-01-09,1950-01,1950,ALL
19500110,1950-01-10,1950-01,1950,ALL
19500111,1950-01-11,1950-01,1950,ALL
19500112,1950-01-12,1950-01,1950,ALL
19500113,1950-01-13,1950-01,1950,ALL
19500114,1950-01-14,1950-01,1950,ALL
19500115,1950-01-15,1950-01,1950,ALL
19500116,1950-01-16,1950-01,1950,ALL
19500117,1950-01-17,1950-01,1950,ALL
19500118,1950-01-18,1950-01,1950,ALL
19500119,1950-01-19,1950-01,1950,ALL
19500120,1950-01-20,1950-01,1950,ALL
19500121,1950-01-21,1950-01,1950,ALL
19500122,1950-01-22,1950-01,1950,ALL
19500123,1950-01-23,1950-01,1950,ALL
19500124,1950-01-24,1950-01,1950,ALL
19500125,1950-01-25,1950-01,1950,ALL
19500126,1950-01-26,1950-01,1950,ALL
19500127,1950-01-27,1950-01,1950,ALL
19500128,1950-01-28,1950-01,1950,ALL
19500129,1950-01-29,1950-01,1950,ALL
19500130,1950-01-30,1950-01,1950,ALL
19500131,1950-01-31,1950-01,1950,ALL
19500201,1950-02-01,1950-02,1950,ALL
19500202,1950-02-02,1950-02,1950,ALL
19500203,1950-02-03,1950-02,1950,ALL
19500204,1950-02-04,1950-02,1950,ALL
19500205,1950-02-05,1950-02,1950,ALL
19500206,1950-02-06,1950-02,1950,ALL
19500207,1950-02-07,1950-02,1950,ALL
19500208,1950-02-08,1950-02,1950,ALL
19500209,1950-02-09,1950-02,1950,ALL
19500210,1950-02-10,1950-02,1950,ALL
19500211,1950-02-11,1950-02,1950,ALL
19500212,1950-02-12,1950-02,1950,ALL
19500213,1950-02-13,1950-02,1950,ALL
19500214,1950-02-14,1950-02,1950,ALL
19500215,1950-02-15,1950-02,1950,ALL
19500216,1950-02-16,1950-02,1950,ALL
19500217,1950-02-17,1950-02,1950,ALL
19500218,1950-02-18,1950-02,1950,ALL
19500219,1950-02-19,1950-02,1950,ALL
19500220,1950-02-20,1950-02,1950,ALL
19500221,1950-02-21,1950-02,1950,ALL
19500222,1950-02-22,1950-02,1950,ALL
19500223,1950-02-23,1950-02,1950,ALL
19500224,1950-02-24,1950-02,1950,ALL
19500225,1950-02-25,1950-02,1950,ALL
19500226,1950-02-26,1950-02,1950,ALL
19500227,1950-02-27,1950-02,1950,ALL
19500228,1950-02-28,1950-02,1950,ALL
19500301,1950-03-01,1950-03,1950,ALL
19500302,1950-03-02,1950-03,1950,ALL
19500303,1950-03-03,1950-03,1950,ALL
19500304,1950-03-04,1950-03,1950,ALL
19500305,1950-03-05,1950-03,1950,ALL
19500306,1950-03-06,1950-03,1950,ALL
19500307,1950-03-07,1950-03,1950,ALL
19500308,1950-03-08,1950-03,1950,ALL
19500309,1950-03-09,1950-03,1950,ALL
19500310,1950-03-10,1950-03,1950,ALL
19500311,1950-03-11,1950-03,1950,ALL
19500312,1950-03-12,1950-03,1950,ALL
19500313,1950-03-13,1950-03,1950,ALL
19500314,1950-03-14,1950-03,1950,ALL
19500315,1950-03-15,1950-03,1950,ALL
19500316,1950-03-16,1950-03,1950,ALL
19500317,1950-03-17,1950-03,1950,ALL
19500318,1950-03-18,1950-03,1950,ALL
19500319,1950-03-19,1950-03,1950,ALL
19500320,1950-03-20,1950-03,1950,ALL
19500321,1950-03-21,1950-03,1950,ALL
19500322,1950-03-22,1950-03,1950,ALL
19500323,1950-03-23,1950-03,1950,ALL
19500324,1950-03-24,1950-03,1950,ALL
19500325,1950-03-25,1950-03,1950,ALL
19500326,1950-03-26,1950-03,1950,ALL
19500327,1950-03-27,1950-03,1950,ALL
19500328,1950-03-28,1950-03,1950,ALL
19500329,1950-03-29,1950-03,1950,ALL
19500330,1950-03-30,1950-03,1950,ALL
19500331,1950-03-31,1950-03,1950,ALL
19500401,1950-04-01,1950-04,1950,ALL
19500402,1950-04-02,1950-04,1950,ALL
19500403,1950-04-03,1950-04,1950,ALL
19500404,1950-04-04,1950-04,1950,ALL
19500405,1950-04-05,1950-04,1950,ALL
19500406,1950-04-06,1950-04,1950,ALL
19500407,1950-04-07,1950-04,1950,ALL
19500408,1950-04-08,1950-04,1950,ALL
19500409,1950-04-09,1950-04,1950,ALL
19500410,1950-04-10,1950-04,1950,ALL
19500411,1950-04-11,1950-04,1950,ALL
19500412,1950-04-12,1950-04,1950,ALL
19500413,1950-04-13,1950-04,1950,ALL
19500414,1950-04-14,1950-04,1950,ALL
19500415,1950-04-15,1950-04,1950,ALL
19500416,1950-04-16,1950-04,1950,ALL
19500417,1950-04-17,1950-04,1950,ALL
19500418,1950-04-18,1950-04,1950,ALL
19500419,1950-04-19,1950-04,1950,ALL
19500420,1950-04-20,1950-04,1950,ALL
19500421,1950-04-21,1950-04,1950,ALL
19500422,1950-04-22,1950-04,1950,ALL
19500423,1950-04-23,1950-04,1950,ALL
19500424,1950-04-24,1950-04,1950,ALL
19500425,1950-04-25,1950-04,1950,ALL
19500426,1950-04-26,1950-04,1950,ALL
19500427,1950-04-27,1950-04,1950,ALL
19500428,1950-04-28,1950-04,1950,ALL
19500429,1950-04-29,1950-04,1950,ALL
19500430,1950-04-30,1950-04,1950,ALL
19500501,1950-05-01,1950-05,1950,ALL
