columnName|values
factTableSize = 682
sampleSize = 34
account.account_id|825,1656,2000,5180,10233,2516,9138,1978,7136,1776,6118,4660,790,8158,3804,3249,2236,2986,8772,4746,8038,1698,4144,10799,9591,3489,1772,7565,4423,3084,9236,11271,9337,817
account.district_name|Frydek - Mistek,Karvina,Jindrichuv Hradec,Beroun,Hl.m. Praha,Hl.m. Praha,Karvina,Vsetin,Zlin,Jihlava,Pardubice,Zlin,Kladno,Praha - zapad,Kladno,Pribram,Olomouc,Karvina,Karvina,Pisek,Hl.m. Praha,Prachatice,Sumperk,Ceska Lipa,Jindrichuv Hradec,Praha - zapad,Olomouc,Litomerice,Rychnov nad Kneznou,Olomouc,Rakovnik,Prachatice,Hradec Kralove,Znojmo
account.region|south Moravia,north Bohemia,central Bohemia,north Bohemia,central Bohemia,south Moravia,east Bohemia,north Bohemia,Prague,central Bohemia,Prague,Prague,east Bohemia,north Moravia,east Bohemia,north Moravia,south Moravia,south Moravia,north Bohemia,north Moravia,south Moravia,north Moravia,east Bohemia,south Bohemia,north Bohemia,south Bohemia,Prague,south Bohemia,north Bohemia,central Bohemia,north Moravia,south Moravia,north Bohemia,south Moravia
account.All|ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
status.status|Contract Finished/No Problems,Running Contract/OK,Running Contract/OK,Running Contract/Client in Debt,Running Contract/OK,Running Contract/OK,Running Contract/OK,Running Contract/OK,Running Contract/OK,Running Contract/OK,Running Contract/OK,Running Contract/OK,Running Contract/OK,Running Contract/OK,Running Contract/OK,Running Contract/OK,Contract Finished/Loan not Payed,Running Contract/OK,Contract Finished/No Problems,Running Contract/OK,Running Contract/OK,Contract Finished/No Problems,Contract Finished/No Problems,Running Contract/OK,Contract Finished/No Problems,Contract Finished/Loan not Payed,Running Contract/OK,Running Contract/OK,Contract Finished/Loan not Payed,Running Contract/OK,Running Contract/Client in Debt,Running Contract/OK,Running Contract/OK,Running Contract/Client in Debt
status.All|ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
date.SK_Day|19940531,19970716,19941220,19980527,19961029,19941103,19941030,19940625,19940730,19951212,19941028,19941112,19961122,19970828,19970226,19980601,19940612,19970506,19960917,19970923,19970815,19971221,19961010,19940926,19980922,19971210,19961119,19970329,19980529,19951031,19970104,19980529,19981201,19940614
date.Day|1997-09-07,1998-07-14,1997-11-12,1995-12-12,1994-08-23,1998-02-24,1994-09-10,1998-07-12,1995-06-06,1997-06-16,1994-10-12,1994-06-06,1998-12-08,1998-01-22,1993-12-08,1995-12-05,1998-05-07,1995-10-08,1997-06-09,1997-11-09,1997-11-27,1996-06-06,1994-05-02,1998-04-19,1997-09-23,1997-02-24,1998-04-27,1994-02-07,1994-03-15,1995-03-16,1996-09-17,1995-01-18,1997-06-30,1997-05-03
date.Month|1996-06,1998-06,1998-01,1997-02,1996-08,1995-04,1993-09,1997-06,1994-06,1994-07,1998-11,1996-09,1996-03,1994-05,1998-03,1998-03,1997-05,1995-03,1997-10,1998-04,1997-08,1997-12,1998-08,1998-03,1995-05,1998-05,1996-03,1998-01,1998-06,1997-05,1994-12,1996-08,1997-12,1995-01
date.Year|1998,1998,1998,1994,1995,1997,1997,1996,1998,1994,1998,1996,1993,1998,1994,1998,1998,1995,1993,1994,1998,1997,1996,1997,1997,1995,1994,1997,1994,1994,1995,1997,1996,1998
date.All|ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
