loan_id,l_account_id,date,l_status_id,amount,duration,payments
4959,2,19940105,2,80952,24,3373
4961,19,19960429,1,30276,12,2523
4962,25,19971208,2,30276,12,2523
4967,37,19981014,3,318480,60,5308
4968,38,19980419,4,110736,48,2307
4973,67,19960502,2,165960,24,6915
4986,97,19970810,2,102876,12,8573
4988,103,19971206,3,265320,36,7370
4989,105,19981205,4,352704,48,7348
4990,110,19970908,4,162576,36,4516
4996,132,19961106,2,88440,12,7370
5002,173,19940531,2,104808,12,8734
5005,176,19970410,2,27456,12,2288
5015,226,19980712,4,109344,12,9112
5027,276,19981202,4,160920,36,4470
5032,290,19941103,2,123696,48,2577
5034,303,19980530,4,112752,36,3132
5036,309,19981125,4,91248,48,1901
5039,314,19970503,4,66840,24,2785
5041,319,19970711,4,369000,60,6150
5042,330,19980712,4,331584,48,6908
5043,339,19971225,4,468060,60,7801
5044,344,19941221,4,100980,60,1683
5045,347,19950501,1,187224,24,7801
5046,349,19980909,4,42816,12,3568
5051,378,19971011,4,230400,60,3840
5060,426,19940719,3,252060,60,4201
5061,440,19980313,4,84288,48,1756
5063,442,19970710,3,357840,48,7455
5072,472,19970428,3,196800,24,8200
5082,501,19961024,4,262980,60,4383
5086,525,19970716,4,210384,48,4383
5088,544,19960822,2,91152,24,3798
5103,666,19971128,2,12540,12,1045
5110,675,19970401,4,102240,60,1704
5117,718,19970820,2,76944,12,6412
5124,785,19980212,4,156096,36,4336
5125,789,19951123,4,73056,48,1522
5126,790,19940724,1,208128,48,4336
5128,808,19960411,3,215616,48,4492
5130,813,19940511,2,24312,12,2026
5131,816,19950108,2,48624,24,2026
5132,817,19950217,4,538500,60,8975
5134,825,19970202,2,53076,12,4423
5136,846,19960728,2,187104,24,7796
5138,854,19950530,4,87216,48,1817
5140,873,19980224,4,178500,60,2975
5145,915,19950916,4,309552,48,6449
5147,938,19980521,4,22260,60,371
5148,940,19960529,4,284280,60,4738
5151,960,19950524,4,189060,60,3151
5154,993,19980701,4,108720,60,1812
5158,1004,19980411,4,188532,36,5237
5160,1011,19951218,4,204000,60,3400
5161,1012,19941028,2,98184,24,4091
5169,1068,19980924,4,253200,60,4220
5170,1071,19940120,4,253200,60,4220
5172,1083,19980416,4,50976,36,1416
5174,1093,19970613,4,385104,48,8023
5176,1106,19941112,1,192552,24,8023
5189,1166,19940207,2,149040,48,3105
5206,1242,19970907,4,128544,24,5356
5207,1244,19970228,4,35904,48,748
5208,1247,19950316,3,99696,48,2077
5209,1250,19961125,4,182640,48,3805
5210,1252,19970401,4,148140,36,4115
5212,1256,19950529,2,71064,36,1974
5214,1270,19970701,4,74772,36,2077
5221,1284,19981205,4,52512,12,4376
5226,1318,19981011,4,185544,36,5154
5229,1329,19970906,2,23520,12,1960
5236,1374,19970915,4,389136,48,8107
5237,1375,19950829,2,45336,24,1889
5241,1389,19980902,4,125472,24,5228
5245,1407,19980117,4,125472,24,5228
5253,1447,19970603,4,100080,48,2085
5260,1480,19980119,4,123300,36,3425
5265,1498,19981007,4,165780,60,2763
5269,1527,19941119,1,164052,36,4557
5270,1528,19970721,4,191088,48,3981
5281,1580,19971127,4,194256,24,8094
5282,1583,19960824,3,388512,48,8094
5285,1603,19940206,2,78936,12,6578
5287,1638,19980126,4,64224,24,2676
5293,1656,19981029,4,189792,48,3954
5301,1698,19960706,4,141948,36,3943
5304,1718,19980820,4,172272,24,7178
5310,1762,19950428,2,248148,36,6893
5311,1766,19960615,4,30060,60,501
5312,1772,19960313,4,202788,36,5633
5313,1776,19980527,4,43200,24,1800
5314,1787,19930705,1,96396,12,8033
5316,1801,19930711,2,165960,36,4610
5318,1808,19980930,4,385584,48,8033
5319,1811,19940623,4,239460,60,3991
5320,1819,19980111,4,143676,36,3991
5325,1843,19930803,2,105804,36,2939
5329,1862,19961016,4,396120,60,6602
5332,1869,19980129,4,37944,36,1054
5334,1876,19980910,4,209040,24,8710
5337,1886,19960731,4,162468,36,4513
5338,1888,19970830,1,57360,12,4780
5343,1906,19971008,4,44952,24,1873
5346,1928,19981206,4,55632,24,2318
5350,1967,19960421,4,249312,48,5194
5351,1978,19941204,2,205200,36,5700
5352,1993,19950415,1,68400,12,5700
5354,2000,19980714,4,290820,60,4847
5358,2018,19970121,2,38520,12,3210
5360,2035,19980125,4,176328,36,4898
5363,2051,19970422,3,293880,60,4898
5365,2055,19980719,4,271260,60,4521
5366,2062,19961029,2,86184,12,7182
5367,2064,19970826,4,83628,36,2323
5368,2073,19981005,4,44640,24,1860
5369,2080,19970912,4,214596,36,5961
5375,2106,19961003,2,101520,12,8460
5377,2116,19970804,2,92400,12,7700
5382,2134,19970317,4,22932,36,637
5384,2142,19980307,4,23328,12,1944
5385,2143,19960909,4,71460,36,1985
5388,2153,19961128,2,61560,12,5130
5389,2165,19970822,4,78600,24,3275
5390,2167,19941030,2,170256,24,7094
5395,2176,19940730,1,299088,36,8308
5398,2187,19971104,2,53472,12,4456
5409,2218,19951118,4,182040,60,3034
5413,2227,19951212,2,92976,24,3874
5414,2228,19950329,4,185952,48,3874
5415,2236,19960926,3,139464,36,3874
5418,2245,19950116,4,347952,48,7249
5419,2246,19970205,4,415800,60,6930
5420,2247,19970224,4,72504,24,3021
5428,2262,19981202,4,230220,36,6395
5429,2268,19960718,4,20196,36,561
5435,2279,19980601,4,314688,48,6556
5445,2322,19960629,2,46320,24,1930
5446,2334,19970804,4,48312,24,2013
5447,2335,19971112,3,541200,60,9020
5449,2343,19951104,2,99336,24,4139
5450,2345,19941211,4,199680,60,3328
5451,2350,19970511,4,159744,48,3328
5452,2352,19960429,4,49440,60,824
5453,2361,19950401,2,156672,36,4352
5463,2413,19981006,4,17952,12,1496
5464,2419,19950130,2,95808,12,7984
5469,2445,19971226,4,293160,60,4886
5470,2456,19960415,4,200976,48,4187
5479,2486,19940110,2,24516,12,2043
5482,2496,19960112,4,165120,60,2752
5486,2516,19970613,4,466608,48,9721
5491,2545,19980213,4,428784,48,8933
5494,2572,19960613,4,360000,48,7500
5495,2580,19960802,4,89340,60,1489
5501,2622,19980521,4,136344,24,5681
5519,2694,19940308,2,91632,12,7636
5520,2699,19980830,4,231168,48,4816
5523,2705,19931208,2,93888,36,2608
5525,2720,19980427,4,93888,36,2608
5526,2725,19981108,4,69624,36,1934
5527,2728,19980615,4,156420,60,2607
5531,2753,19970930,4,66432,24,2768
5532,2754,19970504,4,335280,48,6985
5533,2762,19940705,2,111384,24,4641
5549,2824,19940716,4,50460,60,841
5556,2872,19970519,4,268320,60,4472
5561,2910,19980829,4,437460,60,7291
5563,2912,19960229,4,380160,60,6336
5568,2933,19940517,4,272520,60,4542
5569,2936,19980120,4,504000,60,8400
5576,2962,19941221,2,31248,12,2604
5582,2982,19980417,4,41256,12,3438
5584,2986,19971206,4,24792,24,1033
5585,2988,19980708,4,88608,12,7384
5586,2994,19960914,4,48744,36,1354
5589,3005,19980605,4,390000,48,8125
5591,3021,19961204,4,155616,48,3242
5593,3037,19960418,3,277884,36,7719
5595,3050,19940902,2,82896,12,6908
5599,3064,19950321,2,15420,12,1285
5606,3084,19960828,3,253512,36,7042
5610,3112,19960224,4,123216,48,2567
5611,3115,19961115,4,321180,60,5353
5614,3137,19980921,4,253560,60,4226
5616,3143,19980515,4,130896,24,5454
5620,3161,19980616,4,30012,12,2501
5624,3166,19950103,3,177744,48,3703
5625,3189,19961215,3,222180,60,3703
5634,3229,19970501,2,39024,12,3252
5635,3230,19961004,4,77184,36,2144
5638,3249,19970827,2,68124,12,5677
5643,3273,19970921,1,94512,12,7876
5644,3293,19981127,4,276084,36,7669
5651,3329,19971208,2,19248,12,1604
5656,3353,19970209,4,146064,24,6086
5657,3354,19940705,2,4980,12,415
5665,3390,19980311,4,40632,12,3386
5669,3403,19980627,4,71820,36,1995
5674,3418,19970610,4,207264,48,4318
5681,3448,19971020,4,68664,24,2861
5682,3455,19970307,2,67464,12,5622
5683,3460,19980529,4,140688,48,2931
5693,3489,19950801,2,44088,24,1837
5698,3556,19980922,4,174840,60,2914
5699,3562,19980524,4,174960,24,7290
5706,3608,19960524,4,161496,36,4486
5713,3629,19950530,4,158760,60,2646
5718,3637,19970901,2,14028,12,1169
5719,3664,19970920,4,271584,48,5658
5723,3674,19940910,2,23628,12,1969
5724,3678,19950205,3,316140,60,5269
5725,3679,19960723,4,444864,48,9268
5731,3711,19971105,3,460980,60,7683
5739,3747,19950102,2,76380,12,6365
5740,3752,19950402,2,18564,12,1547
5741,3754,19961103,2,68544,24,2856
5750,3804,19960208,2,63252,12,5271
5754,3834,19940928,2,23052,12,1921
5758,3859,19970502,3,307200,60,5120
5760,3862,19980918,4,74916,36,2081
5765,3875,19980210,4,153936,24,6414
5772,3906,19980308,4,334620,60,5577
5773,3907,19980316,4,133848,24,5577
5774,3916,19980712,4,96984,36,2694
5779,3942,19971014,4,107352,36,2982
5782,3953,19980104,4,63576,12,5298
5784,3967,19970329,3,84600,36,2350
5790,4033,19970320,4,84288,48,1756
5799,4052,19971228,4,106128,36,2948
5804,4079,19950405,4,158976,48,3312
5805,4081,19951128,1,137904,24,5746
5808,4099,19970731,4,41856,48,872
5815,4116,19980603,4,151200,36,4200
5817,4127,19970815,3,100800,24,4200
5823,4144,19980621,4,212976,36,5916
5830,4190,19970828,4,405780,60,6763
5836,4259,19940827,2,79632,24,3318
5837,4260,19940629,4,244560,60,4076
