SK_Day;Day;Month;Year;All
19500101;01/01/1950;1950-01;1950;ALL
19500102;02/01/1950;1950-01;1950;ALL
19500103;03/01/1950;1950-01;1950;ALL
19500104;04/01/1950;1950-01;1950;ALL
19500105;05/01/1950;1950-01;1950;ALL
19500106;06/01/1950;1950-01;1950;ALL
19500107;07/01/1950;1950-01;1950;ALL
19500108;08/01/1950;1950-01;1950;ALL
19500109;09/01/1950;1950-01;1950;ALL
19500110;10/01/1950;1950-01;1950;ALL
19500111;11/01/1950;1950-01;1950;ALL
19500112;12/01/1950;1950-01;1950;ALL
19500113;13/01/1950;1950-01;1950;ALL
19500114;14/01/1950;1950-01;1950;ALL
19500115;15/01/1950;1950-01;1950;ALL
19500116;16/01/1950;1950-01;1950;ALL
19500117;17/01/1950;1950-01;1950;ALL
19500118;18/01/1950;1950-01;1950;ALL
19500119;19/01/1950;1950-01;1950;ALL
19500120;20/01/1950;1950-01;1950;ALL
19500121;21/01/1950;1950-01;1950;ALL
19500122;22/01/1950;1950-01;1950;ALL
19500123;23/01/1950;1950-01;1950;ALL
19500124;24/01/1950;1950-01;1950;ALL
19500125;25/01/1950;1950-01;1950;ALL
19500126;26/01/1950;1950-01;1950;ALL
19500127;27/01/1950;1950-01;1950;ALL
19500128;28/01/1950;1950-01;1950;ALL
19500129;29/01/1950;1950-01;1950;ALL
19500130;30/01/1950;1950-01;1950;ALL
19500131;31/01/1950;1950-01;1950;ALL
19500201;01/02/1950;1950-02;1950;ALL
19500202;02/02/1950;1950-02;1950;ALL
19500203;03/02/1950;1950-02;1950;ALL
19500204;04/02/1950;1950-02;1950;ALL
19500205;05/02/1950;1950-02;1950;ALL
19500206;06/02/1950;1950-02;1950;ALL
19500207;07/02/1950;1950-02;1950;ALL
19500208;08/02/1950;1950-02;1950;ALL
19500209;09/02/1950;1950-02;1950;ALL
19500210;10/02/1950;1950-02;1950;ALL
19500211;11/02/1950;1950-02;1950;ALL
19500212;12/02/1950;1950-02;1950;ALL
19500213;13/02/1950;1950-02;1950;ALL
19500214;14/02/1950;1950-02;1950;ALL
19500215;15/02/1950;1950-02;1950;ALL
19500216;16/02/1950;1950-02;1950;ALL
19500217;17/02/1950;1950-02;1950;ALL
19500218;18/02/1950;1950-02;1950;ALL
19500219;19/02/1950;1950-02;1950;ALL
19500220;20/02/1950;1950-02;1950;ALL
19500221;21/02/1950;1950-02;1950;ALL
19500222;22/02/1950;1950-02;1950;ALL
19500223;23/02/1950;1950-02;1950;ALL
19500224;24/02/1950;1950-02;1950;ALL
19500225;25/02/1950;1950-02;1950;ALL
19500226;26/02/1950;1950-02;1950;ALL
19500227;27/02/1950;1950-02;1950;ALL
19500228;28/02/1950;1950-02;1950;ALL
19500301;01/03/1950;1950-03;1950;ALL
19500302;02/03/1950;1950-03;1950;ALL
19500303;03/03/1950;1950-03;1950;ALL
19500304;04/03/1950;1950-03;1950;ALL
19500305;05/03/1950;1950-03;1950;ALL
19500306;06/03/1950;1950-03;1950;ALL
19500307;07/03/1950;1950-03;1950;ALL
19500308;08/03/1950;1950-03;1950;ALL
19500309;09/03/1950;1950-03;1950;ALL
19500310;10/03/1950;1950-03;1950;ALL
19500311;11/03/1950;1950-03;1950;ALL
19500312;12/03/1950;1950-03;1950;ALL
19500313;13/03/1950;1950-03;1950;ALL
19500314;14/03/1950;1950-03;1950;ALL
19500315;15/03/1950;1950-03;1950;ALL
19500316;16/03/1950;1950-03;1950;ALL
19500317;17/03/1950;1950-03;1950;ALL
19500318;18/03/1950;1950-03;1950;ALL
19500319;19/03/1950;1950-03;1950;ALL
19500320;20/03/1950;1950-03;1950;ALL
19500321;21/03/1950;1950-03;1950;ALL
19500322;22/03/1950;1950-03;1950;ALL
19500323;23/03/1950;1950-03;1950;ALL
19500324;24/03/1950;1950-03;1950;ALL
19500325;25/03/1950;1950-03;1950;ALL
19500326;26/03/1950;1950-03;1950;ALL
19500327;27/03/1950;1950-03;1950;ALL
19500328;28/03/1950;1950-03;1950;ALL
19500329;29/03/1950;1950-03;1950;ALL
19500330;30/03/1950;1950-03;1950;ALL
19500331;31/03/1950;1950-03;1950;ALL
19500401;01/04/1950;1950-04;1950;ALL
19500402;02/04/1950;1950-04;1950;ALL
19500403;03/04/1950;1950-04;1950;ALL
19500404;04/04/1950;1950-04;1950;ALL
19500405;05/04/1950;1950-04;1950;ALL
19500406;06/04/1950;1950-04;1950;ALL
19500407;07/04/1950;1950-04;1950;ALL
19500408;08/04/1950;1950-04;1950;ALL
19500409;09/04/1950;1950-04;1950;ALL
19500410;10/04/1950;1950-04;1950;ALL
19500411;11/04/1950;1950-04;1950;ALL
19500412;12/04/1950;1950-04;1950;ALL
