loan_id;account_id;date;status_id;amount;duration;payments
4959;2;19940105;2;80952;24;3373.0
4961;19;19960429;1;30276;12;2523.0
4962;25;19971208;2;30276;12;2523.0
4967;37;19981014;3;318480;60;5308.0
4968;38;19980419;4;110736;48;2307.0
4973;67;19960502;2;165960;24;6915.0
4986;97;19970810;2;102876;12;8573.0
4988;103;19971206;3;265320;36;7370.0
4989;105;19981205;4;352704;48;7348.0
4990;110;19970908;4;162576;36;4516.0
4996;132;19961106;2;88440;12;7370.0
5002;173;19940531;2;104808;12;8734.0
5005;176;19970410;2;27456;12;2288.0
5015;226;19980712;4;109344;12;9112.0
5027;276;19981202;4;160920;36;4470.0
5032;290;19941103;2;123696;48;2577.0
5034;303;19980530;4;112752;36;3132.0
5036;309;19981125;4;91248;48;1901.0
5039;314;19970503;4;66840;24;2785.0
5041;319;19970711;4;369000;60;6150.0
5042;330;19980712;4;331584;48;6908.0
5043;339;19971225;4;468060;60;7801.0
5044;344;19941221;4;100980;60;1683.0
5045;347;19950501;1;187224;24;7801.0
5046;349;19980909;4;42816;12;3568.0
5051;378;19971011;4;230400;60;3840.0
5060;426;19940719;3;252060;60;4201.0
5061;440;19980313;4;84288;48;1756.0
5063;442;19970710;3;357840;48;7455.0
5072;472;19970428;3;196800;24;8200.0
5082;501;19961024;4;262980;60;4383.0
5086;525;19970716;4;210384;48;4383.0
5088;544;19960822;2;91152;24;3798.0
5103;666;19971128;2;12540;12;1045.0
5110;675;19970401;4;102240;60;1704.0
5117;718;19970820;2;76944;12;6412.0
5124;785;19980212;4;156096;36;4336.0
5125;789;19951123;4;73056;48;1522.0
5126;790;19940724;1;208128;48;4336.0
5128;808;19960411;3;215616;48;4492.0
5130;813;19940511;2;24312;12;2026.0
5131;816;19950108;2;48624;24;2026.0
5132;817;19950217;4;538500;60;8975.0
5134;825;19970202;2;53076;12;4423.0
5136;846;19960728;2;187104;24;7796.0
5138;854;19950530;4;87216;48;1817.0
5140;873;19980224;4;178500;60;2975.0
5145;915;19950916;4;309552;48;6449.0
5147;938;19980521;4;22260;60;371.0
5148;940;19960529;4;284280;60;4738.0
5151;960;19950524;4;189060;60;3151.0
5154;993;19980701;4;108720;60;1812.0
5158;1004;19980411;4;188532;36;5237.0
5160;1011;19951218;4;204000;60;3400.0
5161;1012;19941028;2;98184;24;4091.0
5169;1068;19980924;4;253200;60;4220.0
5170;1071;19940120;4;253200;60;4220.0
5172;1083;19980416;4;50976;36;1416.0
5174;1093;19970613;4;385104;48;8023.0
5176;1106;19941112;1;192552;24;8023.0
5189;1166;19940207;2;149040;48;3105.0
5206;1242;19970907;4;128544;24;5356.0
5207;1244;19970228;4;35904;48;748.0
5208;1247;19950316;3;99696;48;2077.0
5209;1250;19961125;4;182640;48;3805.0
5210;1252;19970401;4;148140;36;4115.0
5212;1256;19950529;2;71064;36;1974.0
5214;1270;19970701;4;74772;36;2077.0
5221;1284;19981205;4;52512;12;4376.0
5226;1318;19981011;4;185544;36;5154.0
5229;1329;19970906;2;23520;12;1960.0
5236;1374;19970915;4;389136;48;8107.0
5237;1375;19950829;2;45336;24;1889.0
5241;1389;19980902;4;125472;24;5228.0
5245;1407;19980117;4;125472;24;5228.0
5253;1447;19970603;4;100080;48;2085.0
5260;1480;19980119;4;123300;36;3425.0
5265;1498;19981007;4;165780;60;2763.0
5269;1527;19941119;1;164052;36;4557.0
5270;1528;19970721;4;191088;48;3981.0
5281;1580;19971127;4;194256;24;8094.0
5282;1583;19960824;3;388512;48;8094.0
5285;1603;19940206;2;78936;12;6578.0
5287;1638;19980126;4;64224;24;2676.0
5293;1656;19981029;4;189792;48;3954.0
5301;1698;19960706;4;141948;36;3943.0
5304;1718;19980820;4;172272;24;7178.0
5310;1762;19950428;2;248148;36;6893.0
5311;1766;19960615;4;30060;60;501.0
5312;1772;19960313;4;202788;36;5633.0
5313;1776;19980527;4;43200;24;1800.0
5314;1787;19930705;1;96396;12;8033.0
5316;1801;19930711;2;165960;36;4610.0
5318;1808;19980930;4;385584;48;8033.0
5319;1811;19940623;4;239460;60;3991.0
5320;1819;19980111;4;143676;36;3991.0
5325;1843;19930803;2;105804;36;2939.0
5329;1862;19961016;4;396120;60;6602.0
5332;1869;19980129;4;37944;36;1054.0
5334;1876;19980910;4;209040;24;8710.0
5337;1886;19960731;4;162468;36;4513.0
5338;1888;19970830;1;57360;12;4780.0
5343;1906;19971008;4;44952;24;1873.0
5346;1928;19981206;4;55632;24;2318.0
5350;1967;19960421;4;249312;48;5194.0
5351;1978;19941204;2;205200;36;5700.0
5352;1993;19950415;1;68400;12;5700.0
5354;2000;19980714;4;290820;60;4847.0
5358;2018;19970121;2;38520;12;3210.0
5360;2035;19980125;4;176328;36;4898.0
5363;2051;19970422;3;293880;60;4898.0
5365;2055;19980719;4;271260;60;4521.0
5366;2062;19961029;2;86184;12;7182.0
5367;2064;19970826;4;83628;36;2323.0
5368;2073;19981005;4;44640;24;1860.0
5369;2080;19970912;4;214596;36;5961.0
5375;2106;19961003;2;101520;12;8460.0
5377;2116;19970804;2;92400;12;7700.0
5382;2134;19970317;4;22932;36;637.0
5384;2142;19980307;4;23328;12;1944.0
5385;2143;19960909;4;71460;36;1985.0
5388;2153;19961128;2;61560;12;5130.0
